Id,Actual,Predicted,Error,AbsError,PercentError,AbsPercentError,PriceRange
1076,325000,293381.7148860121,-31618.28511398792,31618.28511398792,-9.728703111996282,9.728703111996282,>$300k
1310,155835,181733.303697714,25898.303697714,25898.303697714,16.619054575489457,16.619054575489457,$150-200k
989,187500,194759.61993722932,7259.6199372293195,7259.6199372293195,3.871797299855637,3.871797299855637,$150-200k
122,181000,178650.0987962963,-2349.901203703688,2349.901203703688,-1.2982879578473416,1.2982879578473416,$150-200k
1009,287000,264388.0992658831,-22611.900734116905,22611.900734116905,-7.87871105718359,7.87871105718359,$250-300k
44,130250,129055.56729365072,-1194.432706349282,1194.432706349282,-0.9170308685982971,0.9170308685982971,$100-150k
152,125000,126395.7902222222,1395.7902222222037,1395.7902222222037,1.116632177777763,1.116632177777763,$100-150k
1096,115000,116578.33705050506,1578.3370505050552,1578.3370505050552,1.3724670004391786,1.3724670004391786,$100-150k
1116,180000,177998.5466753247,-2001.453324675298,2001.453324675298,-1.111918513708499,1.111918513708499,$150-200k
707,110000,146436.87525478224,36436.87525478224,36436.87525478224,33.12443204980203,33.12443204980203,$100-150k
611,135000,188387.12134920637,53387.12134920637,53387.12134920637,39.54601581422694,39.54601581422694,$100-150k
1300,125000,130956.3553137796,5956.355313779597,5956.355313779597,4.765084251023677,4.765084251023677,$100-150k
998,167500,146744.15579365083,-20755.844206349168,20755.844206349168,-12.391548779909952,12.391548779909952,$150-200k
1065,129000,123954.15932748534,-5045.840672514663,5045.840672514663,-3.9115043972981884,3.9115043972981884,$100-150k
266,139000,160790.7904220779,21790.790422077902,21790.790422077902,15.676827641782662,15.676827641782662,$100-150k
1192,145000,138262.61416463167,-6737.385835368332,6737.385835368332,-4.646472989909194,4.646472989909194,$100-150k
298,225000,242719.08822799416,17719.088227994158,17719.088227994158,7.87515032355296,7.87515032355296,$200-250k
680,140000,150665.52004828505,10665.520048285049,10665.520048285049,7.618228605917891,7.618228605917891,$100-150k
139,260000,246040.1037303458,-13959.896269654186,13959.896269654186,-5.369190872943918,5.369190872943918,$250-300k
154,109500,110486.08332275136,986.0833227513649,986.0833227513649,0.9005327148414292,0.9005327148414292,$100-150k
435,199900,209426.69487037355,9526.694870373554,9526.694870373554,4.765730300336946,4.765730300336946,$150-200k
48,249700,245653.7231903324,-4046.2768096675863,4046.2768096675863,-1.620455270191264,1.620455270191264,$200-250k
1078,274725,229408.2702254498,-45316.729774550186,45316.729774550186,-16.4953061332424,16.4953061332424,$250-300k
1156,189000,194262.07392227216,5262.07392227216,5262.07392227216,2.7841660964402966,2.7841660964402966,$150-200k
288,152000,137480.15479731376,-14519.845202686236,14519.845202686236,-9.552529738609365,9.552529738609365,$150-200k
1167,116050,109524.65134432234,-6525.3486556776625,6525.3486556776625,-5.622876911398244,5.622876911398244,$100-150k
453,178740,183970.0920050256,5230.092005025595,5230.092005025595,2.926089294520306,2.926089294520306,$150-200k
782,223500,183164.0807070707,-40335.91929292929,40335.91929292929,-18.047391182518698,18.047391182518698,$200-250k
381,106500,110216.45133597884,3716.45133597884,3716.45133597884,3.4896256675857646,3.4896256675857646,$100-150k
